"sm_id","sm_m_id","sm_keterangan","sm_href","sm_class","sm_susunan","sm_status","sm_gen_code","sm_gen_by","sm_gen_date"
1,1,Terjemahan,m/m.fw_lang,fa fa-language text-theme m-l-5,1,A,,,2025-05-29 07:51:27.287
13,2,Peranan Pengguna,m/m.ref_role,"",13,A,"{""m_id"":""2"",""sm_id"":""13"",""modul"":""RefRole"",""dbschema"":""mympp"",""tabledb"":""ref_role"",""order"":{""rr_id"":""0"",""rr_acronym"":""1"",""rr_description"":""2"",""rr_status_ind"":""3""},""fields"":[""rr_id"",""rr_acronym"",""rr_description"",""rr_status_ind""],""typeselection"":{""rr_acronym"":""tf"",""rr_description"":""tf"",""rr_status_ind"":""tf""},""compulsory"":[""rr_acronym"",""rr_description"",""rr_status_ind""],""data_style"":""dlg"",""form_style"":""rt""}",admin,2025-05-29 11:17:02.000
3,2,Jenis Permohonan,m/m.application_type,"",6,A,"{""m_id"":""2"",""sm_id"":""3"",""modul"":""ApplicationType"",""dbschema"":""mympp"",""tabledb"":""ref_application_type"",""order"":{""rat_id"":""0"",""rat_desc"":""1"",""rat_status_ind"":""2""},""fields"":[""rat_id"",""rat_desc"",""rat_status_ind""],""typeselection"":{""rat_desc"":""tf"",""rat_status_ind"":""tf""},""compulsory"":[""rat_desc"",""rat_status_ind""],""data_style"":""dlg"",""form_style"":""rt""}",admin,2025-05-29 14:33:56.000
8,3,Senarai Permohonan,m/m.application_list,"",8,A,"{""m_id"":""3"",""sm_id"":""8"",""modul"":""ApplicationList"",""dbschema"":""mympp"",""tabledb"":""application_data"",""order"":{""ad_id"":""0"",""ad_ref_no"":""1"",""ad_mpp_zone"":""2"",""ad_application_type"":""3"",""ad_file_no"":""4"",""ad_detail_application"":""5"",""ad_request_date"":""6"",""ad_total"":""7"",""ad_activitiy_date"":""8"",""ad_activity_type"":""9"",""ad_sdg_type"":""10"",""ad_detail_activity"":""11"",""ad_status_process"":""12""},""fields"":[""ad_id"",""ad_ref_no"",""ad_mpp_zone"",""ad_application_type"",""ad_file_no"",""ad_detail_application"",""ad_request_date"",""ad_total"",""ad_activitiy_date"",""ad_activity_type"",""ad_sdg_type"",""ad_detail_activity"",""ad_status_process""],""typeselection"":{""ad_ref_no"":"""",""ad_mpp_zone"":"""",""ad_application_type"":"""",""ad_file_no"":"""",""ad_detail_application"":"""",""ad_request_date"":"""",""ad_total"":"""",""ad_activitiy_date"":"""",""ad_activity_type"":"""",""ad_sdg_type"":"""",""ad_detail_activity"":"""",""ad_status_process"":""""},""data_style"":""dlg"",""form_style"":""rt""}",admin,2025-05-29 16:53:10.000
7,3,Permohonan Baharu,m/m.application_form,"",7,A,"{""m_id"":""3"",""sm_id"":""7"",""modul"":""ApplicationClass"",""dbschema"":""mympp"",""tabledb"":""application_data"",""order"":{""ad_id"":""0"",""ad_ref_no"":""1"",""ad_mpp_zone"":""2"",""ad_application_type"":""3"",""ad_file_no"":""4"",""ad_detail_application"":""5"",""ad_request_date"":""6"",""ad_total"":""7"",""ad_activitiy_date"":""8"",""ad_activity_type"":""9"",""ad_sdg_type"":""10"",""ad_detail_activity"":""11""},""fields"":[""ad_id"",""ad_ref_no"",""ad_mpp_zone"",""ad_application_type"",""ad_file_no"",""ad_detail_application"",""ad_request_date"",""ad_total"",""ad_activitiy_date"",""ad_activity_type"",""ad_sdg_type"",""ad_detail_activity""],""typeselection"":{""ad_ref_no"":""tf"",""ad_mpp_zone"":"""",""ad_application_type"":"""",""ad_file_no"":"""",""ad_detail_application"":""ta"",""ad_request_date"":"""",""ad_total"":"""",""ad_activitiy_date"":"""",""ad_activity_type"":"""",""ad_sdg_type"":"""",""ad_detail_activity"":""ta""},""compulsory"":[""ad_mpp_zone"",""ad_detail_application"",""ad_detail_activity""],""data_style"":""dl"",""form_style"":""df""}",admin,2025-05-29 15:03:57.000
5,2,Senarai SDG,m/m.sdg_list,"",3,A,"{""m_id"":""2"",""sm_id"":""5"",""modul"":""SdgType"",""dbschema"":""mympp"",""tabledb"":""ref_sdg_type"",""order"":{""rst_id"":""0"",""rst_desc"":""1"",""rst_status_ind"":""2""},""fields"":[""rst_id"",""rst_desc"",""rst_status_ind""],""typeselection"":{""rst_desc"":""tf"",""rst_status_ind"":""tf""},""compulsory"":[""rst_desc"",""rst_status_ind""],""data_style"":""dlg"",""form_style"":""rt""}",admin,2025-06-03 09:10:13.000
4,2,Senarai Aktiviti,m/m.activitiy_list,"",4,A,"{""m_id"":""2"",""sm_id"":""4"",""modul"":""ActivitiyType"",""dbschema"":""mympp"",""tabledb"":""ref_activity_type"",""order"":{""ract_id"":""0"",""ract_desc"":""1"",""ract_status_ind"":""2""},""fields"":[""ract_id"",""ract_desc"",""ract_status_ind""],""typeselection"":{""ract_desc"":""tf"",""ract_status_ind"":""tf""},""compulsory"":[""ract_desc"",""ract_status_ind""],""data_style"":""dlg"",""form_style"":""rt""}",admin,2025-06-03 09:15:50.000
9,4,Penilaian Program,m/p.program_assesment,"",9,A,,,2025-05-29 08:56:19.098
10,4,Senarai Penilaian,m/p.assesment_list,"",10,A,,,2025-05-29 08:56:53.214
6,2,Senarai Negeri,m/t.state_list,"",5,A,,,2025-05-29 08:03:07.077
11,5,Senarai Laporan,m/l.report_list,"",11,A,,,2025-05-29 09:01:37.492
12,6,Profil Pengguna,m/m.pg_user_profile,"",12,A,,,2025-05-29 09:03:04.456
2,2,Senarai Zon,m/m.zone_list,"",2,A,"{""m_id"":""2"",""sm_id"":""2"",""modul"":""ZoneClass"",""dbschema"":""mympp"",""tabledb"":""ref_zone_list"",""order"":{""rzl_id"":""0"",""rzl_desc"":""1"",""rzl_status_ind"":""2""},""fields"":[""rzl_id"",""rzl_desc"",""rzl_status_ind""],""typeselection"":{""rzl_desc"":""tf"",""rzl_status_ind"":""tf""},""compulsory"":[""rzl_desc"",""rzl_status_ind""],""data_style"":""dlg"",""form_style"":""rt""}",admin,2025-05-29 11:14:04.000
